"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1302830" "北京" "移动互联网,游戏" "360" "50-150人" "上市公司" "本科" "3-5年" "数据挖掘/机器学习工程师" "25k-35k" "
        职位描述：
        
        【奇虎360搜索团队】【机器学习/数据挖掘工程师】-北京
工作职责：
负责query意图分析、排序模型优化、用户行为挖掘、页面质量分析等工作，持续提升网页搜索结果质量。
 
职位要求：
两年以上互联网公司工作经验；
熟练掌握C/C++，熟悉Python/Perl/Shell等至少一种脚本语言；
对数据结构和算法设计有较为深刻的理解；
熟悉常见的机器学习&数据挖掘算法，有相关研究或项目经验；
优秀的分析问题和解决问题能力，对解决挑战性的问题充满激情；
具备搜索/计算广告/推荐/大规模数据分析等相关经验者优先。

        
    "
"1689501" "成都" "移动互联网,游戏" "tap4fun" "150-500人" "成长型(不需要融资)" "本科" "1-3年" "数据挖掘" "10k-20k" "
        职位描述：
        
        

岗位职责：

1. 分析预测有价值相关数据
2. 针对具体的业务问题、规划，设计基于数据挖掘的解决方案，分析报告
3. 为市场营销活动提供数据支持，描绘用户画像，提高营销效果
4. 发现行业作弊情况，完成渠道效果分析
5. 通过特征抽取和建模，指标挖掘，助力广告投放

任职要求:
一、知识技能：
1. 本科学历及以上，统计学，数学，计算机，数据分析相关学科或者有量化研究背景
2. 至少掌握一种统计分析工具，如SAS、R、MATLAB等
3. 熟悉算法，熟悉SQL语言
4. 至少1年工作经验，接受优秀应届生
5. 掌握定量分析技能（统计分析、机器学习、数据可视化）
6. 有市场数据分析经验优先

二、胜任力：
1. 逻辑思维能力优秀
2. 数据敏感性优秀
3. 写作能力良好
4. 沟通表达能力良好
5. 内驱动力优秀


        
    "
"2770809" "北京" "移动互联网,文化娱乐" "新华网" "500-2000人" "成熟型(不需要融资)" "硕士" "3-5年" "NLP/数据挖掘工程师" "13k-18k" "
        职位描述：
        
        岗位职责：1. 基于用户属性和行为，构建用户画像；2. 探索推荐系统不同场景下的推荐实现，改进用户体验；3. 负责NLP基础研发以及非结构化文本知识抽取、图文数据自动分类、舆情分析，事件摘要，知识图谱等；4. 智能推荐、搜索、人工智能方向的技术研发。
 
岗位要求：1. 计算机、数学相关专业硕士或以上学历，3年以上相关工作经验；2. 有自然语言处理、数据挖掘、机器学习、深度学习等相关的项目经验，较强的算法基础；3. 熟练掌握C/C++,JAVA,Python,shell中的一种或多种语言；4. 熟悉linux开发环境，熟练使用python或其他脚本语言；5. 熟悉NoSQL数据库，有海量数据处理、分布式开发经验，能够使用hadoop、spark、storm等；6. 有较强的分析问题解决问题能力，良好的团队合作意识。
 
 
        
    "
"668181" "北京" "广告营销,文化娱乐" "爱奇艺" "2000人以上" "成熟型(D轮及以上)" "硕士" "1-3年" "数据挖掘" "15k-28k" "
        职位描述：
        
        【爱奇艺商业系统部】  利用IQIYI+baidu+社交媒体+行业门户的大数据，结合大数据技术，构造行业领先的电影大数据系统，以支持爱奇艺电影改变和带领中国电影产业进入全新的产业格局。我们需要一批优秀的工程师和架构师，覆盖大量数据获取、存储、处理，自然语言处理，情感分析，时序分析，流量预测，仓库建模等等       不想局限在某一个领域的工程师，只要足够资深、足够优秀，就会有成长的发展空间      
工作职责：   1. 运用数据挖掘和机器学习方法和技术，深入挖掘和分析海量商业数据   2. 不断完善和优化算法，以技术驱动公司业务成长，体现技术价值   3. 包括但不限于风控模型、用户画像、商家画像建模、文本分析和商业预测等       职位要求：   1. 计算机、电子、数学或者统计学相关专业硕士以上学历，2年以上工作经历   2. 精通一门或多门开发语言（C++、Python和Java等），熟练掌握常用数据结构和算法   3. 熟悉常用机器学习和数据挖掘算法，包括但不限于决策树、支持向量机、线性回归、逻辑斯谛回归以及神经网络等算法   4. 熟练掌握一种数据库，例如MySQL，精通SQL语言，并有实际应用和开发经验   5. 熟悉Spark等分布式机器学习框架，熟悉Hadoop/HBase/Hive等大数据处理平台   6. 优秀的沟通能力，有创新精神，乐于接受挑战，能承受工作压力   
        
    "
"1885712" "北京" "移动互联网" "阿里巴巴—高德" "2000人以上" "上市公司" "本科" "3-5年" "数据挖掘" "25k-35k" "
        职位描述：
        
        岗位职责：
1、用户行为分析
2、服务性能分析
3、产品效果分析
4、用户反馈分析
5、用户画像

技能要求：
1、熟悉sql语句
3、熟悉机器学习，并有相关经验
2、熟悉python、php、c或c++三者任一
4、熟悉nlp、神经网络是加分项

        
    "
"1308897" "杭州" "游戏,移动互联网" "顺网科技" "500-2000人" "上市公司" "本科" "1-3年" "数据挖掘工程师" "15k-25k" "
        职位描述：
        
        岗位职责：
1.用户行为数据的分析挖掘;负责用户兴趣模型的设计和方案，深度挖掘用户行为，生成有商业价值的标签，以及通过Web日志数据分析预测用户的标签；
2.推荐产品的算法研发和实现，比如机器学习相关的个性化推荐算法，并开展前沿性推荐算法研发；
3.在线广告算法的策略和方案，包括基于内容的广告匹配算法，广告投放策略，CTR预估等；
4.应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题，并研发创新方法以解决常规算法不能解决的问题； 
5.开展用户行为分析相关的离线计算工作；
6.与业务部门沟通合作，将数据模型应用于实际业务；

任职要求：
1.2年以上的数据挖掘、分析、算法设计经验，从事过机器学习、数据挖掘、统计分析、推荐等算法相关的项目，熟悉常见的概率统计、数据挖掘、机器学习算法；
2.海量数据的数据挖掘项目经验；熟悉基于Hadoop、Hbase的数据分析和挖掘;
3.熟练使用SAS、SPSS等分析软件进行建模分析者优先；熟悉Hadoop、Hive、Mahout、R等大数据相关技术者优先；
4.在推荐系统、自然语言处理、文本挖掘、广告系统至少一个方向上有深入研究和理解；有相关开发经验者优先；
5.扎实的编程基础，精通至少一门编程语言；熟悉R或python语言优先；熟练掌握Hive\SQL；熟悉Java者尤善； 
6.具有良好的商业敏感度和优秀的数据分析技能，能够开发创新而实际的分析方法以解决复杂的商业问题。

        
    "
"2732195" "深圳" "金融" "平安人寿" "2000人以上" "上市公司" "本科" "1-3年" "数据挖掘工程师" "13k-25k" "
        职位描述：
        
        1亿+APP用户，互联网保险+大数据,风口等你来,
我们拥有一只有战斗力的队伍，期待着您的加入,
职位描述：
1、从事保险互联网+大数据的挖掘和建模的实施工作与洞察分析工作，包括精准营销/推荐、反欺诈、流失预测、APP活跃分析、APP留存分析、路径分析、行为序列分析等； 
2、负责数据挖掘领域的分析研究，包括数据挖掘算法的分析研究（包括分类,协同过滤,关联规则等算法），特定场景的数据挖掘模型的需求分析、建模、实验模拟； 
3、参与进行数据挖掘应用系统的开发，包括需求分析、系统设计、算法测试和优化； 
 
职位要求：
1、大学本科及以上学历，计算机或数学、统计学等相关专业；
2、具有2年以上数据建模/机器学习相关工作经验和数理统计理论基础，有过互联网APP海量数据分析/挖掘开发经验者优先；；
3、至少掌握一种常用的统计工具软件，如spark、R、sas等数据挖掘工具中的一种或者几种,熟悉spark优先;
4、熟练掌握SQL查询，掌握hive，有java开发经验会spark mllib尤佳; 
5、具备敏感的数据分析及数据方案策划能力，能通过数据提出问题并看清问题本质
        
    "
"2658348" "杭州" "移动互联网,金融" "传化物流集团" "2000人以上" "上市公司" "硕士" "5-10年" "数据挖掘" "20k-40k" "
        职位描述：
        
        岗位职责:
1、运用机器学习的理论和方法，针对海量数据信息建模，挖掘潜在商业价值，并能构建新的商业模式； 
2、研究人工智能领域前沿理论与技术，通过技术和物流垂直行业的完美结合，提高产品的用户体验，提升物流效率； 
3、设计和优化推荐算法模型，搜索算法模型，图像算法模型，音频与视觉的通用基本框架与技术等； 
4、并负责车货匹配领域相关系统的核心技术创新与优化、算法实现和分析，包括但不限于：多模型线上A/B Test，Explore & Exploit实现，使用hadoop/hive等对样本进行清洗、特征关联，使用spark/sklearn训练点击率预估模型，对模型参数进行调优等。 
任职资格：
1. 硕士以上学历，有3年以上人工智能相关领域的实际工作经验；
2. 精通AI的基础知识与理论，对推荐和优先算法、排序、触发和定向技术有深入的理解； 
3. 熟悉常见的分类、聚类、推荐算法及原理，和他们的使用场景，优缺点 ；
4. 3-5年数据挖掘及其相关经验,参与过用户画像,用户生命周期,有过自然语言处理和建模经验优先考虑 ；
5. 有垂直行业的推荐算法的研发与优化，有垂直行业的数据挖掘经验（金融征信、游戏、旅游、新闻等）的优先；
6. 熟练使用hadoop、spark等框架，有Deep Learning经验的优先。
        
    "
"2739953" "深圳" "金融" "招商银行" "2000人以上" "上市公司" "本科" "5-10年" "数据挖掘岗" "20k-30k" "
        职位描述：
        
        1.负责零售网络银行的数据挖掘和数据分析； 2.借助用户、交易、理财产品、理财资讯等各类数据，对用户行为进行建模，并进行个性化推荐，促进流量增长和变现能力提升； 3.与技术部门一同建设个性化推荐平台，提供可视化的策略数据展现，以及可配置化的运营活动/个性化推荐产品的支持。 
        
    "
"2222549" "上海" "金融" "买单侠" "500-2000人" "成熟型(C轮)" "本科" "3-5年" "数据挖掘" "15k-25k" "
        职位描述：
        
        职责
1、基于hive和spark构建数据仓库
2、负责业务数据的清洗、建模、统计与可视化，全方位支撑线上产品和线下业务迭代扩张；
3、构建数据的监测与分析体系，帮助业务人员快速、及时发现问题并找到原因； 
要求
1、熟练掌握SQL，理解 Hive/Mysql/Sqlserver 基本原理和调优策略；
2、具备优秀的业务理解能力，具有数据建模经验，有大型数据的建模经验优先；
3、熟悉Mongodb，Redis等非关系型数据库和内存数据库优先；
4、具有数据清洗的经验，熟悉常用的数据清洗方法
5、了解数据仓库开发流程，有数据仓库(DW)/商业智能(BI)/数据统计 相关工作经验者优先。

        
    "
"2562239" "苏州" "旅游,电子商务" "同程旅游" "2000人以上" "成熟型(D轮及以上)" "本科" "3-5年" "数据挖掘" "12k-20k" "
        职位描述：
        
        岗位职责：
1、为事业部运营、市场投放、产品运营等团队提供数据分析支持；
2、负责收集整理各业务数据，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析和建模，对相关数据进行深度挖掘分析；
3、对公司业务的运营进行评估和建议，从数据的角度推动公司运营决策、产品方向和运营；
4. 深入理解业务，发现业务特征潜在机会，并给出有效的行动建议。
资格要求：
1. 应用数学、统计学或相关专业优先
2. 3年以上数据分析经验，有过海量数据分析经验
3. 有互联网行业的从业经验者优先
4. 熟练使用SQL语言进行数据分析工作；
5. 除Excel外，精通一门数据分析工具，python和R优先
6. 具备良好的沟通能力和表达能力，有独立开展业务调研、数据分析、报告编写的经验；
7. 热爱互联网产品，热爱数据分析工作，善思考、逻辑思维能力强，善于用简单语言表述复杂结论；
8. 对数据驱动业务有深入理解，对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力；

        
    "
"1909390" "深圳" "移动互联网,旅游" "Klook 客路旅行" "150-500人" "成长型(A轮)" "本科" "1-3年" "数据挖掘" "10k-20k" "
        职位描述：
        
        岗位职责
1. 搭建数据分析平台，定期生成数据报告
2. 负责销售数据的分析和挖掘
3. 负责推荐系统、广告系统的数据模型开发及算法优化；


岗位要求
1. 计算机、数学等相关专业本科以上学历；
2. 2年以上数据统计分析、数据挖掘等相关工作经验，有互联网行业数据分析经验者优先；
3. 熟悉数据建模知识、数据挖掘理论，掌握数据分析体系方法；
4. 精通SQL脚本编写；精通Excel，掌握Python、R、SAS、SPSS等任一数据分析工具优先；
5. 工作细致、责任心强，具备很强的逻辑分析能力、学习能力及理解能力，有良好的沟通能力、高度的责任心和团队合作精神;
        
    "
"2693982" "上海" "金融" "前隆金融（手机贷）" "500-2000人" "成熟型(C轮)" "本科" "1-3年" "数据挖掘工程师" "20k-40k" "
        职位描述：
        
        工作职责：
1.     通过机器学习的方法，从以下几方面对海量数据进行分析和建模，发现规律：1） 降低风险；2) 提高效率; 3) 深入了解业务和趋势
2.     跨步部门合作，引领变化，提出需求，验收项目，跟踪效果，迭代优化
3.     优化已有机器学习和数据处理算法：提高算法的准确性，降低执行的时间成本
任职资格：
1.     2年（含）以上机器学习或数据挖掘实际项目经验
2.     项目中使用过2种（含）以上工具：Spark, Hive, Mallet, Mahout, SAS, Cassandra, Druid, SPM, Model Builder, Elastic Search
3.     项目中应用过2种（含）以上算法：逻辑回归，GBDT, 随机森林，决策树，CART, 神经网络，Apriori
4.     具备主动引领变化的能力

        
    "
"2354325" "北京" "移动互联网 ,电子商务" "微店" "500-2000人" "成熟型(C轮)" "本科" "1-3年" "数据挖掘工程师H0134" "20K-40K" "
        职位描述：
        
        工作职责：
1. 承担社交关系网络相关的数据挖掘需求；
2. 进行微店用户行为分析研究，包括需求分析与分层，人群划分与刻画等；
3. 进行商品体系相关的数据挖掘；
4. 从实际需求出发，研究和改进数据挖掘算法。
 
职位要求：
1. 熟悉数据挖掘相关算法(决策树、SVM、聚类、逻辑回归、贝叶斯)，有扎实的数理基本功和良好的逻辑思维能力；
2. 对数据敏感，有强烈的好奇心，喜欢研究数据并从中发现价值；
3. 熟悉C/C++或者Python语言；
4. 有Hadoop，Spark，MPI相关经验或者其它大规模数据处理经验者优先。
 
        
    "
"2687818" "上海" "金融" "平安科技" "2000人以上" "成熟型(不需要融资)" "本科" "不限" "数据挖掘工程师(上海)" "10k-20k" "
        职位描述：
        
        职位描述：
1、从事金融行业数据挖掘和数学建模的实施工作与咨询顾问服务；
2、负责数据挖掘领域的分析研究，包括数据挖掘算法的分析研究，特定工程的数据挖掘模型的需求分析、建模、实验模拟；
3、负责指导软件开发工程师进行数据挖掘系统的开发，包括需求分析、系统设计、系统测试和优化；
4、负责研究成果在公司内的推广应用，以及对外对内合作交流，不断提升公司的技术、分析和营销能力；
5、针对营销理论、消费者的消费行为数据结合数据挖掘领域的特点进行综合全面的业务逻辑架构及系统架构设计。

招聘要求：
1、大学本科及以上学历，管理科学与工程、计算机或数学、统计学专业毕业；
2、具有2年以上数据挖掘/数学建模相关工作经验, 具有深厚的统计学、数学、人工智能和数据挖掘知识基础，具备数理统计理论基础，并熟悉常用的统计工具软件，如SAS EG/EM或SPSS等数据挖掘工具； 熟练掌握关系型数据库技术，具有数据库系统开发经验；
3、具有深厚的统计学、数学、人工智能和数据挖掘知识基础，精通数据挖掘方法论、具有金融保险行业的企业级数据仓库/数据挖掘专题应用实施经验者优先； 有经济学，市场营销学知识及经验者优先。

注：以上岗位要求国家统招学历，本科及以上学历需要有学位证书。

        
    "
"1788351" "北京" "移动互联网,金融" "宜信" "2000人以上" "上市公司" "硕士" "3-5年" "数据挖掘工程师（互联网金融）" "15k-25k" "
        职位描述：
        
        1.    基于海量用户行为，负责互联网金融相关产品的用户基础数据挖掘工作，对数据给出合理化分析和改进建议以及金融风险、信用管理等建模分析。
2.    负责互联网金融相关产品的用户库构建，特征抽取和建模，指标挖掘，实现用户行为分析和用户刻画，为决策提供相关的数据、工具支持。
3.    参与风险部门的重点项目，负责从数据的角度给出决策建议
任职资格：
1.     计算机、数学或统计等相关专业硕士及以上学历；
2.     深刻理解并掌握统计学、自然语言处理、语义分析、机器学习等的算法和技术，熟悉决策树、SVM、聚类、逻辑回归、贝叶斯等的分析和应用, 并有实际数据挖掘项目经验；
3.     精通Java/Python/R/SAS等语言进行开发(至少两种)，有良好互联网数据挖掘实战经验者优先；
4.     熟练掌握Hadoop、Hive，HBase, 理解云计算, 了解Storm，对hadoop、hive源码有研究优先
5.     对数据敏感、对新技术敏感，有一定技术研究能力,有互联网行业数据分析与挖掘经验优先;
6.     优秀的学习能力，分析和解决问题的能力和强烈的进取心；
7.     诚恳、踏实，对技术和工作充满热情；
8.     具备良好的沟通能力和团队合作精神。

        
    "
"2307406" "广州" "移动互联网,硬件" "机智云" "150-500人" "成长型(B轮)" "硕士" "不限" "数据挖掘" "3k-5k" "
        职位描述：
        
        岗位职责：1.根据产品需求，完成对数据的清洗以及数据统计分析工作；
2.分析用户以及设备行为，建立模型预测用户或设备的行为；
3.负责相关技术文档和专利的撰写工作。
 职位要求：1.全日制在读研究生，计算机、统计学、数学、信息技术等相关专业研究生或特别优秀的本科；2.熟悉使用SQL，Python/R；3.熟悉常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等）；4.较强的理解具体业务的能力，针对不同业务能有相应的处理方法； 5.较强的逻辑思维能力，具有良好的自学能力和解决问题的能力；6.英语熟练，能够熟练阅读相关技术文档。

        
    "
"2770279" "深圳" "移动互联网" "酷米客公交" "150-500人" "成长型(A轮)" "硕士" "1-3年" "数据挖掘工程师" "15k-25k" "
        职位描述：
        
        岗位职责：
1、负责数据采集产品设计和开发；
2、负责数据仓库建模、数据预处理子系统的设计和开发；
3、负责数据挖掘功能设计和开发。

任职资格：

1、有扎实的计算机理论基础, 对数据结构及算法有较强的功底；
2、熟练java、C 、Python中的任何一种语言，兼有者更佳；
3、对分布式系统原理有较深的理解，理解数据库和nosql相关理论；
4、有在网站公司或海量数据处理工作经验，数据分析和挖掘经验者优先；
5、有使用Go语言开发高性能后台系统经验者优先。

        
    "
