"char" "freq"
"的" 7135
"和" 3177
"数据" 2420
"有" 2372
"等" 2292
"经验" 1985
"数据挖掘" 1696
"熟悉" 1673
"相关" 1583
"能力" 1510
"算法" 1370
"工作" 1365
"优先" 1318
"职位" 1269
"分析" 1144
"描述" 1130
"对" 1078
"业务" 1024
"2" 993
"及" 982
"机器学习" 917
"1" 904
"技术" 902
"开发" 897
"用户" 890
"3" 870
"者" 784
"模型" 777
"负责" 772
"与" 740
"挖掘" 740
"要求" 736
"或" 724
"1." 712
"2." 709
"数据分析" 689
"3." 664
"大" 660
"产品" 626
"以上" 624
"python" 608
"应用" 607
"具有" 590
"系统" 589
"4" 582
"良好" 574
"进行" 567
"数学" 548
"平台" 544
"并" 536
"问题" 534
"团队" 528
"海量" 522
"以上学历" 520
"设计" 511
"建模" 508
"hadoop" 507
"年" 492
"语言" 485
"优化" 483
"4." 481
"使用" 472
"项目" 459
"具备" 459
"5" 458
"java" 456
"统计" 441
"专业" 440
"计算机" 437
"推荐" 426
"研究" 419
"在" 406
"spark" 405
"岗位职责" 388
"精通" 388
"常用" 383
"任职" 379
"中" 377
"沟通" 377
"行为" 376
"互联网" 375
"公司" 361
"理解" 360
"基础" 359
"至少" 350
"r" 337
"学习" 333
"5." 331
"实现" 326
"熟练" 321
"领域" 320
"提供" 319
"能够" 314
"实际" 312
"一种" 310
"为" 304
"行业" 304
"强" 303
"需求" 299
"熟练掌握" 296
"建立" 289
"了解" 288
"数据处理" 285
"研发" 285
"岗位" 279
"工具" 277
"解决" 276
"我们" 275
"统计学" 272
"c++" 269
"理论" 264
"价值" 261
"职责" 259
"方法" 255
"较" 254
"参与" 254
"hive" 251
"能" 247
"基于" 247
"本科" 244
"合作" 243
"编程" 239
"6" 239
"构建" 235
"扎实" 231
"linux" 230
"分类" 230
"聚类" 228
"数据库" 226
"优秀" 226
"如" 225
"sql" 221
"自然语言处理" 216
"数据结构" 216
"大规模" 215
"知识" 212
"包括" 208
"用户画像" 202
"机器学习算法" 202
"广告" 202
"以及" 200
"你" 199
"运营" 198
"6." 198
"编程语言" 194
"解决问题" 192
"精神" 191
"掌握" 189
"深入" 188
"发现" 187
"较强" 186
"金融" 185
"数据挖掘算法" 182
"或者" 180
"策略" 180
"从" 177
"通过" 174
"硕士" 173
"服务" 172
"客户" 169
"一定" 169
"体系" 166
"建设" 165
"背景" 165
"资格" 164
"信息" 164
"方向" 161
"完成" 161
"利用" 159
"根据" 158
"c" 158
"一门" 156
"是" 155
"商业" 150
"新" 149
"专业本科" 148
"特征" 145
"处理" 144
"场景" 144
"营销" 143
"storm" 141
"丰富" 140
"脚本" 140
"效果" 137
"支持" 137
"分布式" 136
"上" 135
"提升" 135
"实施" 135
"预测" 134
"回归" 134
"考虑" 130
"独立" 129
"各种" 129
"sas" 127
"以" 127
"将" 124
"过" 122
"shell" 122
"搭建" 122
"mysql" 121
"内容" 121
"计算" 120
"运用" 120
"实践经验" 119
"方面" 118
"逻辑思维" 117
"架构" 116
"hbase" 116
"搜索" 115
"文本" 114
"创新" 114
"敏感" 114
"数据模型" 113
"数据仓库" 113
"环境" 110
"7" 110
"框架" 110
"善于" 109
"精准" 109
"管理" 109
"决策树" 108
"统计分析" 107
"快速" 106
"不" 106
"scala" 106
"评估" 104
"工程师" 104
"维护" 102
"解决方案" 102
"风险" 101
"部门" 100
"下" 100
"发展" 100
"常见" 98
"核心" 97
"改进" 97
"针对" 96
"前沿" 95
"逻辑" 95
"关系" 93
"7." 93
"以下" 93
"软件" 92
"化" 91
"外卖" 91
"方案" 91
"文本挖掘" 88
"协作" 88
"责任心" 88
"持续" 88
"智能" 88
"可以" 86
"spss" 86
"风控" 86
"计算机相关" 85
"画像" 84
"深度学习" 84
"意识" 83
"好" 82
"其他" 82
"规律" 82
"原理" 82
"流程" 82
"结果" 80
"个性化推荐" 80
"功底" 80
"分布式计算" 79
"表达" 79
"深度" 79
"激情" 78
"拥有" 78
"决策" 78
"数理统计" 76
"兴趣" 75
"于" 74
"探索" 74
"排序" 74
"深刻" 73
"挑战性" 73
"结合" 73
"人工智能" 73
"完善" 72
"svm" 72
"开源" 72
